,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,druzhnaya gorka,96,RU,1570557632,89,52.98,34.53,34.25,6.87
389,seymchan,3,RU,1570557632,88,62.93,152.39,4.19,1.59
390,siniscola,19,IT,1570557633,72,40.57,9.69,64.4,2.24
391,egham,20,GB,1570557633,87,51.43,-0.55,57.0,10.29
392,brownsville,1,US,1570557633,59,25.91,-97.49,89.6,16.11
393,baykit,34,RU,1570557633,76,61.68,96.39,24.53,2.8
394,kieta,100,PG,1570557625,77,-6.22,155.63,80.51,5.1
395,ewa beach,75,CM,1570557634,93,5.76,9.91,72.59,0.22
396,tacna,0,PE,1570557634,52,-18.01,-70.25,68.0,6.93
397,shimoda,47,JP,1570557635,95,34.7,138.93,66.99,3.0
398,dingle,68,PH,1570557635,87,11.0,122.67,73.85,3.65
399,pitea,0,SE,1570557635,96,65.32,21.48,35.01,5.82
400,rawson,33,AR,1570557636,27,-43.3,-65.11,62.51,23.76
401,ossora,1,RU,1570557636,67,59.24,163.07,32.45,7.02
402,nouadhibou,0,MR,1570557636,61,20.93,-17.03,77.0,19.46
403,pingxiang,14,CN,1570557636,90,27.63,113.85,62.15,1.12
404,culebra,97,PA,1570557637,80,9.3,-82.53,77.45,2.8
405,mudu,5,CN,1570557637,83,31.26,120.51,66.99,1.01
406,phalaborwa,11,ZA,1570557637,51,-23.95,31.14,82.4,12.75
407,atar,44,MR,1570557638,6,20.52,-13.05,95.99,13.33
408,usakos,1,NA,1570557638,39,-22.0,15.59,63.59,7.6
409,thompson,75,CA,1570557638,66,55.74,-97.86,53.6,11.41
410,muravlenko,100,RU,1570557639,76,63.79,74.5,33.71,16.2
411,hualmay,3,PE,1570557639,52,-11.1,-77.61,71.51,10.43
412,roxana,75,CR,1570557639,73,10.27,-83.75,77.0,6.93
413,kristiansund,75,NO,1570557640,87,63.12,7.73,44.6,10.29
414,santa isabel do rio negro,0,PH,1570557617,72,17.49,120.43,82.85,13.18
415,nikel,75,NO,1570557640,92,69.41,30.21,35.6,25.28
416,knysna,90,ZA,1570557640,82,-34.04,23.05,62.6,3.36
417,aykhal,90,RU,1570557641,92,65.95,111.51,17.6,8.95
418,aragarcas,75,BR,1570557641,66,-15.9,-52.25,84.2,9.17
419,boulder,1,US,1570557465,14,40.02,-105.27,75.99,4.7
420,charyshskoye,0,RU,1570557641,84,51.4,83.56,47.03,3.42
421,pallipattu,30,IN,1570557642,87,13.34,79.44,76.55,2.21
422,nanning,20,CN,1570557642,88,22.83,108.3,75.2,2.24
423,ust-maya,98,RU,1570557642,93,60.42,134.54,29.57,8.74
424,banjar,64,ID,1570557643,93,-7.37,108.54,69.71,2.51
425,wattegama,95,LK,1570557643,95,7.35,80.68,72.23,1.92
426,fairbanks,90,US,1570557643,94,64.84,-147.72,32.0,4.7
427,talnakh,0,RU,1570557644,92,69.49,88.39,19.4,6.71
428,naryan-mar,94,RU,1570557644,94,67.67,53.09,40.37,15.75
429,martapura,14,ID,1570557644,74,-3.41,114.85,78.8,4.7
430,roma,2,IT,1570557644,72,41.89,12.48,69.8,3.36
431,papayal,75,EC,1570557645,33,-3.57,-80.23,89.6,10.29
432,haines junction,90,US,1570557645,71,44.91,-117.94,53.6,5.82
433,palmer,75,AU,1570557646,62,-34.85,139.16,53.01,4.7
434,rocha,0,UY,1570557646,47,-34.48,-54.34,68.81,8.23
435,kropotkin,100,RU,1570557646,86,45.43,40.58,50.27,15.61
436,gisborne,72,NZ,1570557646,71,-38.66,178.02,55.99,7.0
437,vanavara,0,RU,1570557647,69,60.35,102.28,21.83,8.27
438,ixtapa,20,MX,1570557647,66,20.71,-105.21,90.0,8.05
439,dunedin,100,NZ,1570557473,91,-45.87,170.5,51.01,8.01
440,sola,94,TZ,1570557648,33,-3.17,33.8,79.79,17.24
441,vacaria,100,BR,1570557648,44,-28.51,-50.94,78.01,8.99
442,marysville,75,US,1570557648,81,48.05,-122.18,53.01,10.29
443,selikhino,81,RU,1570557648,97,50.37,137.51,42.53,4.07
444,muskegon,1,US,1570557577,39,43.23,-86.25,66.2,6.93
445,nagai,86,JP,1570557649,76,38.14,139.98,57.99,9.01
446,arenapolis,96,BR,1570557649,61,-14.45,-56.85,81.59,3.91
447,cristalina,27,BR,1570557650,40,-16.77,-47.61,86.09,4.41
448,bafq,0,IR,1570557650,12,31.6,55.4,63.41,4.21
449,moa,78,CU,1570557650,46,20.66,-74.95,91.49,4.05
450,berlevag,75,NO,1570557650,76,70.86,29.09,39.2,18.34
451,pomabamba,79,PE,1570557651,67,-8.82,-77.46,49.73,7.02
452,plettenberg bay,0,DE,1570557651,82,51.21,7.87,57.99,11.41
453,mookane,0,BW,1570557652,10,-23.68,26.66,82.49,6.51
454,pitimbu,75,BR,1570557652,62,-7.47,-34.81,84.2,14.99
455,shubarshi,100,KZ,1570557652,52,48.59,57.19,56.39,5.64
456,serowe,58,BW,1570557652,11,-22.4,26.7,77.27,1.41
457,mount gambier,40,GB,1570557605,66,53.66,-1.85,55.99,10.29
458,chernyshevskiy,91,RU,1570557653,94,63.01,112.47,17.69,5.14
459,ponta delgada,95,BR,1570557653,50,-0.53,-65.05,90.77,1.63
460,singarayakonda,100,IN,1570557653,78,15.25,80.02,81.77,4.97
461,hrinova,75,SK,1570557654,70,48.58,19.53,48.2,1.12
462,jiwani,0,PK,1570557654,78,25.05,61.74,82.31,14.65
463,santa isabel,0,PH,1570557654,85,17.49,120.43,71.87,5.31
464,barguzin,100,RU,1570557655,91,53.62,109.63,38.57,7.88
465,makubetsu,41,JP,1570557655,74,42.84,143.34,42.89,7.84
466,buin,0,CL,1570557655,18,-33.73,-70.74,84.2,3.36
467,miles city,0,AU,1570557655,39,-26.66,150.19,55.31,15.77
468,grants pass,75,US,1570557631,63,35.15,-107.85,60.8,3.36
469,mitsamiouli,75,KM,1570557656,58,-11.38,43.28,82.4,4.7
470,clearwater,20,US,1570557656,70,27.97,-82.8,89.01,3.36
471,goderich,0,CA,1570557656,55,43.74,-81.71,66.99,6.59
472,sztum,90,PL,1570557657,100,53.92,19.03,46.0,11.41
473,benjamin aceval,0,US,1570557657,43,33.58,-99.79,75.99,10.0
474,jacksonville,75,US,1570557531,83,30.33,-81.66,86.0,5.82
475,oriximina,80,BR,1570557657,47,-1.77,-55.87,92.21,4.03
476,lata,2,IN,1570557658,88,30.78,78.62,29.21,2.26
477,wiarton,5,CA,1570557658,51,44.74,-81.13,64.99,3.36
478,corinto,40,CO,1570557659,58,3.17,-76.26,82.4,3.36
479,tirumullaivasal,0,IN,1570557659,77,11.24,79.84,83.21,13.05
480,san remo,78,ML,1570557602,22,13.3,-4.9,92.39,4.29
481,florianopolis,20,BR,1570557659,57,-27.6,-48.55,80.6,9.17
482,empalme,5,MX,1570557660,39,27.96,-110.81,97.0,2.53
483,ayan,71,IR,1570557660,40,38.23,44.7,54.95,5.84
484,pundaguitan,88,PH,1570557661,77,6.37,126.17,82.49,10.6
485,mandalgovi,0,MN,1570557661,32,45.76,106.27,46.31,10.29
486,dargaville,11,NZ,1570557661,79,-35.94,173.86,57.29,5.82
487,sakaraha,90,MG,1570557662,42,-22.91,44.53,79.25,7.94
488,hami,55,CN,1570557662,25,42.84,93.51,56.21,1.61
489,sumter,75,US,1570557528,69,33.92,-80.34,80.6,8.05
490,tazmalt,40,DZ,1570557663,68,36.39,4.4,71.6,6.93
491,badou,100,TG,1570557663,97,7.58,0.61,71.33,1.81
492,seoul,1,KR,1570557397,100,37.57,126.98,51.8,1.12
493,prince rupert,75,CA,1570557664,63,52.97,-108.38,32.0,20.8
494,bolgar,90,RU,1570557664,70,54.97,49.03,42.8,8.95
495,tangjiazhuang,100,CN,1570557664,93,33.27,105.76,48.65,2.04
496,shurugwi,66,ZW,1570557665,27,-19.67,30.0,74.21,1.61
497,oxbow,1,CA,1570557665,51,49.23,-102.17,64.0,11.41
498,andra,94,RU,1570557665,93,62.52,65.89,43.43,5.7
499,semey,0,KZ,1570557666,67,50.41,80.25,54.59,9.34
500,bria,100,CF,1570557666,93,6.54,21.99,71.51,2.61
501,lorengau,45,PG,1570557666,72,-2.02,147.27,83.93,8.27
502,sao felix do xingu,22,IN,1570557666,82,20.51,76.21,72.95,3.18
503,bubaque,98,GW,1570557667,76,11.28,-15.83,81.59,13.09
504,half moon bay,75,LR,1570557667,94,6.38,-10.7,77.0,13.15
505,pacific grove,75,US,1570557667,66,47.26,-122.25,53.6,8.05
506,baruun-urt,0,MN,1570557668,44,46.68,113.28,43.25,11.52
507,lebork,90,PL,1570557668,100,54.54,17.75,48.0,11.41
508,queanbeyan,0,AU,1570557668,91,-35.35,149.23,39.99,3.85
509,qaqortoq,75,GL,1570557669,97,60.72,-46.03,41.0,4.7
510,lazarev,100,RU,1570557669,87,52.23,141.51,49.01,6.33
511,stutterheim,0,ZA,1570557669,72,-32.57,27.43,66.2,9.17
512,panan,75,PH,1570557670,78,15.26,120.04,80.6,6.93
513,libreville,20,GA,1570557670,83,0.39,9.45,80.6,10.29
514,yenagoa,100,NG,1570557670,97,4.92,6.26,73.49,3.31
515,uchaly,99,RU,1570557671,93,54.32,59.38,42.35,2.68
516,uyemskiy,90,RU,1570557671,100,64.47,40.85,33.8,8.95
517,husavik,6,CA,1570557671,48,50.56,-96.99,64.0,5.01
518,coruripe,13,BR,1570557672,57,-10.12,-36.18,81.95,15.08
519,saint-georges,12,CA,1570557672,64,46.12,-70.67,57.0,5.01
520,aginskoye,81,RU,1570557672,75,51.11,114.54,44.33,12.75
521,dovers,75,VC,1570557673,66,12.88,-61.18,86.0,9.17
522,avera,75,US,1570557673,48,33.19,-82.53,86.0,3.36
523,klaksvik,75,FO,1570557673,93,62.23,-6.59,50.0,20.8
524,puerto del rosario,75,AR,1570557674,23,-51.62,-69.23,51.8,31.09
525,minudasht,65,IR,1570557674,64,37.23,55.37,75.2,1.58
526,conway,1,US,1570557675,35,35.09,-92.44,73.4,5.82
527,whithorn,20,JM,1570557675,66,18.26,-78.04,89.6,14.99
528,gorontalo,37,ID,1570557675,89,0.54,123.06,70.79,2.86
529,abu samrah,75,JP,1570557675,87,34.51,131.49,60.01,4.7
530,nalut,42,LY,1570557676,77,31.86,10.98,65.93,17.17
531,kaputa,51,ZM,1570557676,32,-8.47,29.66,77.99,3.33
532,komsomolskiy,90,RU,1570557676,82,67.55,63.78,31.55,7.71
533,sistranda,88,NO,1570557677,75,63.73,8.83,43.0,12.75
534,spoleto,0,IT,1570557677,62,42.74,12.74,66.2,3.36
